ending1,ending2,labels,startphrase,instruction_column
Dia penakut.,Dia pemberani.,0,Nyalinya seperti anak kecil yang tersesat.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyalinya seperti anak kecil yang tersesat., Options: 0) Dia penakut. 1) Dia pemberani."
Dia penakut.,Dia pemberani.,1,Nyalinya seperti prajurit terdepan di medan perang.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyalinya seperti prajurit terdepan di medan perang., Options: 0) Dia penakut. 1) Dia pemberani."
Pengetahuannya kurang.,Pengetahuannya luas.,0,Berbicara dengan Kinan seperti bicara dengan balita.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Berbicara dengan Kinan seperti bicara dengan balita., Options: 0) Pengetahuannya kurang. 1) Pengetahuannya luas."
Pengetahuannya kurang.,Pengetahuannya luas.,1,Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama., Options: 0) Pengetahuannya kurang. 1) Pengetahuannya luas."
Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,0,Anak itu tampil bak putri malu yang layu.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anak itu tampil bak putri malu yang layu., Options: 0) Anak itu tampil dengan malu-malu. 1) Anak itu tampil dengan percaya diri."
Anak itu tampil dengan malu-malu.,Anak itu tampil dengan percaya diri.,1,Anak itu tampil bak bunga mawar di taman.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Anak itu tampil bak bunga mawar di taman., Options: 0) Anak itu tampil dengan malu-malu. 1) Anak itu tampil dengan percaya diri."
Suara Sari sangat kencang.,Suara Sari sangat pelan.,0,Suara Sari dapat mengalahkan suara ombak.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suara Sari dapat mengalahkan suara ombak., Options: 0) Suara Sari sangat kencang. 1) Suara Sari sangat pelan."
Suara Sari sangat kencang.,Suara Sari sangat pelan.,1,Suara Sari lenyap terbawa angin.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suara Sari lenyap terbawa angin., Options: 0) Suara Sari sangat kencang. 1) Suara Sari sangat pelan."
Cara makannya rapi.,Cara makannya berantakan.,0,Cara makannya bagai tamu restoran bintang 5.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cara makannya bagai tamu restoran bintang 5., Options: 0) Cara makannya rapi. 1) Cara makannya berantakan."
Cara makannya rapi.,Cara makannya berantakan.,1,Cara makannya bagai anak kecil di toko es krim.,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Cara makannya bagai anak kecil di toko es krim., Options: 0) Cara makannya rapi. 1) Cara makannya berantakan."
