ending1,ending2,startphrase,labels,instruction_column
Nyawang esemmu sing manis,Nyawang esemmu sing pahit,Nyawang esemmu sing rupane kaya ngemut glali,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyawang esemmu sing rupane kaya ngemut glali, Options: 0) Nyawang esemmu sing manis 1) Nyawang esemmu sing pahit"
Nyawang esemmu sing manis,Nyawang esemmu sing pahit,Nyawang esemmu sing rupane kaya nyruput ampas kopi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nyawang esemmu sing rupane kaya nyruput ampas kopi, Options: 0) Nyawang esemmu sing manis 1) Nyawang esemmu sing pahit"
Suarane bocah kuwi merdu,Suarane bocah kuwi elek,Suarane bocahe kuwi kaya sutra,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suarane bocahe kuwi kaya sutra, Options: 0) Suarane bocah kuwi merdu 1) Suarane bocah kuwi elek"
Suarane bocah kuwi merdu,Suarane bocah kuwi elek,Suarane bocahe kuwi kaya bledek,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suarane bocahe kuwi kaya bledek, Options: 0) Suarane bocah kuwi merdu 1) Suarane bocah kuwi elek"
Lakmu mlaku cepet,Lakmu mlaku suwi,Lakmu mlaku jan kaya diuber maling,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lakmu mlaku jan kaya diuber maling, Options: 0) Lakmu mlaku cepet 1) Lakmu mlaku suwi"
Lakmu mlaku cepet,Lakmu mlaku suwi,Lakmu mlaku jan kaya nyeret bata,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lakmu mlaku jan kaya nyeret bata, Options: 0) Lakmu mlaku cepet 1) Lakmu mlaku suwi"
Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,Dekwingi aku nyang omahmu jan kaya pasar malem,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dekwingi aku nyang omahmu jan kaya pasar malem, Options: 0) Dek wingi aku nyang omahmu sing rame 1) Dek wingi aku nyang omahmu sing sepi"
Dek wingi aku nyang omahmu sing rame,Dek wingi aku nyang omahmu sing sepi,Dekwingi aku nyang omahmu jan kaya omah demit,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Dekwingi aku nyang omahmu jan kaya omah demit, Options: 0) Dek wingi aku nyang omahmu sing rame 1) Dek wingi aku nyang omahmu sing sepi"
Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,Ngawiti dina senen iku seabot nyunggi batako,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngawiti dina senen iku seabot nyunggi batako, Options: 0) Ngawiti dina senen iku abot banget 1) Ngawiti dina senen iku enteng"
Ngawiti dina senen iku abot banget,Ngawiti dina senen iku enteng,Ngawiti dina senen iku seabot nyunggi kapuk,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ngawiti dina senen iku seabot nyunggi kapuk, Options: 0) Ngawiti dina senen iku abot banget 1) Ngawiti dina senen iku enteng"
"Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek","Winginane aku ketemu Mbak Dewi, rupane kaya cak ning",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Winginane aku ketemu Mbak Dewi, rupane kaya cak ning, Options: 0) Winginane aku ketemu Mbak Dewi, wajahe ayu 1) Winginane aku ketemu Mbak Dewi, wajahe elek"
"Winginane aku ketemu Mbak Dewi, wajahe ayu","Winginane aku ketemu Mbak Dewi, wajahe elek","Winginane aku ketemu Mbak Dewi, rupane kaya kuntilanak",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Winginane aku ketemu Mbak Dewi, rupane kaya kuntilanak, Options: 0) Winginane aku ketemu Mbak Dewi, wajahe ayu 1) Winginane aku ketemu Mbak Dewi, wajahe elek"
Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,"Poh, ambune klambine Bu Nita kaya kebon mlathi",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Poh, ambune klambine Bu Nita kaya kebon mlathi, Options: 0) Ambune klambine Bu Nita wangi 1) Ambune klambine Bu Nita mambu ora enak"
Ambune klambine Bu Nita wangi,Ambune klambine Bu Nita mambu ora enak,"Poh, ambune klambine Bu Nita kaya peceren",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Poh, ambune klambine Bu Nita kaya peceren, Options: 0) Ambune klambine Bu Nita wangi 1) Ambune klambine Bu Nita mambu ora enak"
Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,Suasanane pasar kliwon jan kaya wong tawuran,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suasanane pasar kliwon jan kaya wong tawuran, Options: 0) Suasanane pasar kliwon jan kaya rame 1) Suasanane pasar kliwon jan kaya sepi"
Suasanane pasar kliwon jan kaya rame,Suasanane pasar kliwon jan kaya sepi,Suasanane pasar kliwon jan kaya kuburan,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Suasanane pasar kliwon jan kaya kuburan, Options: 0) Suasanane pasar kliwon jan kaya rame 1) Suasanane pasar kliwon jan kaya sepi"
Lekmu numpak mobil alon,Lekmu numpak mobil cepet,Lekmu numpak mobil kaya keong,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lekmu numpak mobil kaya keong, Options: 0) Lekmu numpak mobil alon 1) Lekmu numpak mobil cepet"
Lekmu numpak mobil alon,Lekmu numpak mobil cepet,Lekmu numpak mobil kaya alap-alap,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lekmu numpak mobil kaya alap-alap, Options: 0) Lekmu numpak mobil alon 1) Lekmu numpak mobil cepet"
Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,Lungguh ning kursi iku rasane kaya bantal,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lungguh ning kursi iku rasane kaya bantal, Options: 0) Lungguh ning kursi iku rasane empuk 1) Lungguh ning kursi iku rasane atos"
Lungguh ning kursi iku rasane empuk,Lungguh ning kursi iku rasane atos,Lungguh ning kursi iku rasane kaya watu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Lungguh ning kursi iku rasane kaya watu, Options: 0) Lungguh ning kursi iku rasane empuk 1) Lungguh ning kursi iku rasane atos"
Udane maeng isuk deres,Udane maeng isuk gerimis,Udane maeng isuk kaya disok,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Udane maeng isuk kaya disok, Options: 0) Udane maeng isuk deres 1) Udane maeng isuk gerimis"
Udane maeng isuk deres,Udane maeng isuk gerimis,Udane maeng isuk kaya kletik,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Udane maeng isuk kaya kletik, Options: 0) Udane maeng isuk deres 1) Udane maeng isuk gerimis"
Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bar sepedahan tekan nggunung boyok rasane kaya dilindes trek, Options: 0) Bar sepedahan tekan nggunung boyok rasane keju kabeh 1) Bar sepedahan tekan nggunung boyok rasane penak"
Bar sepedahan tekan nggunung boyok rasane keju kabeh,Bar sepedahan tekan nggunung boyok rasane penak,Bar sepedahan tekan nggunung boyok rasane kaya dibalsemi sedinaan,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Bar sepedahan tekan nggunung boyok rasane kaya dibalsemi sedinaan, Options: 0) Bar sepedahan tekan nggunung boyok rasane keju kabeh 1) Bar sepedahan tekan nggunung boyok rasane penak"
Adike Anas duwur banget,Adike Anas cendek,"Ra umum, duwurmen adike Anas sak wit klapa",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ra umum, duwurmen adike Anas sak wit klapa, Options: 0) Adike Anas duwur banget 1) Adike Anas cendek"
Adike Anas duwur banget,Adike Anas cendek,"Ra umum, duwurmen adike Anas sak wit ceplukan",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ra umum, duwurmen adike Anas sak wit ceplukan, Options: 0) Adike Anas duwur banget 1) Adike Anas cendek"
