Start Phrase,Ending 1,Ending 2,Labels,Response,answer,not_generated,match
ಆ ಪ್ರದೇಶ ದೇವಸ್ಥಾನದಷ್ಟು ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ.,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿದೆ,ಆ ಪ್ರದೇಶ ಹಿಂಸೆಯಿಂದ ಕೂಡಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor suggests that the area is filled with violence, so the option 0) is the closest meaning as it states that the area is filled with violence."",
  ""answer"": 0
}",0,,0
ಅವರ ಬಾಂಧವ್ಯ ಶತ್ರುಗಳು ಹಾಗೆ ಗಟ್ಟಿಯಿದೆ.,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ,ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: In this metaphor, the phrase ""ಬಾಂಧವ್ಯ ಶತ್ರುಗಳು"" suggests that the relationship is like enemies, meaning it is strong and difficult. Option 0) ""ಅವರ ಬಾಂಧವ್ಯ ಗಟ್ಟಿ ಇದೆ"" directly relates to this idea, stating that their relationship is strong. So, this option is the closest meaning to the metaphor.",0,,0
ಆ ಜಾಗವು ಟ್ರಾಫಿಕ್ ಜಾಮ್ನಷ್ಟು ನಿಶ್ಯಬ್ದವಾಗಿದೆ.,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿದೆ,ಆ ಜಾಗವು ನಿಶಬ್ದವಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the place to a traffic jam, indicating that the place is very noisy and crowded."",
  ""answer"": 0
}",0,,0
ಅವನು ಯುವಕನಷ್ಟು ದುರ್ಬಲನಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿದ್ದಾನೆ,ಅವನು ದುರ್ಬಲನಾಗಿಲ್ಲ,1,"{
  ""explanation"": ""The metaphor is comparing the person to a young man, implying that he is as weak as a young man."",
  ""answer"": 0
}",0,,0
ಅವನು ವೃದ್ಧನಷ್ಟು ಬಲಿಷ್ಠನಿದ್ದಾನೆ.,ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ,ಅವನು ಬಲಿಷ್ಠನಿಲ್ಲ,1,"{
  ""answer"": 0
}

Explanation: The metaphor uses the comparison of being as strong as an old man, implying that the person is very strong. Option 0) ""ಅವನು ಬಲಿಷ್ಠನಿದ್ದಾನೆ"" translates to ""He is as strong."" This meaning aligns closer with the metaphor.",0,,0
ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ.,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ,ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿಲ್ಲ,1,"{
  ""answer"": 0
} 

Explanation: The phrase ""ಅದು ನೀರಿನಂತೆ ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ"" is a metaphor comparing something to the color red like water. Option 0) ""ಅದು ಕೆಂಪು ಬಣ್ಣ ಹೊಂದಿದೆ"" translates to ""It is red in color,"" which is the closest meaning to the metaphor. This option emphasizes the similarity in",0,,0
ಅದರ ವೇಗ ಆಮೆಯಷ್ಟು ನಿಧಾನವಾಗಿದೆ.,ಅದರ ವೇಗ ತುಂಬಾ ನಿಧಾನ,ಅದರ ವೇಗ ನಿಧಾನವಾಗಿಲ್ಲ,0,"{
  ""explanation"": ""The metaphor compares the speed of something to that of a tortoise, indicating that it is very slow."",
  ""answer"": 1
}",1,,0
ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,0,"{
  ""question"": ""ಆ ವಸ್ತು ಟೆಲಿಫೋನ್ನಷ್ಟು ಹಳೆಯದು."",
  ""options"": {
    ""0"": ""ಆ ವಸ್ತು ಹಳೆಯದು"",
    ""1"": ""ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ""
  },
  ""answer"": 1
}",1,,0
ಆ ವಸ್ತು ಮೊಬೈಲ್ನಷ್ಟು ಹಳೆಯದು.,ಆ ವಸ್ತು ಹಳೆಯದು,ಆ ವಸ್ತು ಹೊಸದಾಗಿದೆ,1,"{
  ""answer"": 0
} 

Explanation: The metaphor compares the object to something as old as a mobile phone, implying that the object is very old. Option 0) translates to ""The object is old"", which is the closest meaning to the metaphor.",0,,0
ಆಹಾರವು ಮ್ಯಾಗಿ ಯಂತೆ ಪೌಷ್ಟಿಕತೆ ಹೊಂದಿದೆ.,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿದೆ,ಈ ಆಹಾರವು ಪೌಷ್ಟಿಕತೆಯಿಂದ ಕೂಡಿಲ್ಲ,1,"{
  ""answer"": 0
}  

Explanation: The metaphor ""food is like a magnet"" implies that the food is attracting something, in this case, nutrients. Thus, option 0, which states that ""This food is filled with nutrition,"" is the closest meaning to the metaphor.",0,,0
