Prompt,Response
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 0: दोस्ती मददगार होती है।
Options:
0) दोस्ती नुकसान दायक होती है।
1) दोस्ती एक फलदार वृक्ष है।

Question 1: दोस्ती मददगार होती है।
Options:
0) दोस्ती नुकसान दायक होती है।
1) दोस्ती एक जहरीला वृक्ष है।

Question 2: कालिदास मुर्ख हैं।
Options:
0) कालिदास बुद्धिमान हैं।
1) कालिदास भारत के शेख्चिली हैं।

Question 3: कालिदास मुर्ख हैं।
Options:
0) कालिदास बुद्धिमान हैं।
1) कालिदास भारत के शेक्सपियर हैं।

Question 4: ख़ुशी की खबर लाई।
Options:
0) दुःख की खबर लाई।
1) यह खबर उनके दिल में फूलों की खुशबु लाई।

Question 5: ख़ुशी की खबरलाई।
Options:
0) दुःख की खबर लाई।
1) यह खबर उनके दिल में तीर की तरह चुभ गई।

Question 6: उदयसिंह परिवार को समाज में नीचा दिखाते हैं।
Options:
0) उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।
1) उदयसिंह परिवार के कलंक हैं।

Question 7: उदयसिंह परिवार को समाज में नीचा दिखाते हैं।
Options:
0) उदयसिंह परिवार को समाज में ऊँचे दर्जे पर लेजाते हैं।
1) उदयसिंह परिवार के सितारे हैं।

Question 8: जीवन हकीकत है।
Options:
0) जीवन एक मिथ्या है।
1) जीवन एक सत्य है।

Question 9: जीवन हकीकत है।
Options:
0) जीवन एक मिथ्या है।
1) जीवन एक सपना है।

Question 10: जीवन में खुशिओं भी होती हैं।
Options:
0) जीवन में दुःख भी आते हैं।
1) जीवन काँटों की सेज नहीं है।

Question 11: जीवन में खुशिओं भी होती हैं।
Options:
0) जीवन में दुःख भी आते हैं।
1) जीवन फूलों की सेज नहीं है।

Question 12: बदला लेना अच्छा है।
Options:
0) बदला लेना अच्छा नहीं है।
1) बदला एक प्रकार का सभ्य न्याय है।

Question 13: बदला लेना अच्छा है।
Options:
0) बदला लेना अच्छा नहीं है।
1) बदला एक प्रकार का जंगली न्याय है।

Question 14: बचपन जीवन का कठिन समय होता है।
Options:
0) बचपन जीवन का सबसे सही होता है।
1) बचपन जीवन का अंधकार है।
","0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 15: बचपन जीवन का कठिन समय होता है।
Options:
0) बचपन जीवन का सबसे सही होता है।
1) बचपन जीवन का सवेरा है।

Question 16: वह बहुत बढ़िया काम कर रहा है।
Options:
0) वह काम चोरी कर रहा है।
1) वह आजकल स्फूर्ति में व्यस्त है।

Question 17: वह बहुत बढ़िया काम कर रहा है।
Options:
0) वह काम चोरी कर रहा है।
1) वह आजकल आलस्य में व्यस्त है।

Question 18: यह नेक इंसान हैं, यह सब जानते हैं।
Options:
0) यह नेक हैं या नहीं इसके बारे में कोई नहीं जनता।
1) यह एक खुली किताब है।

Question 19: यह नेक इंसान हैं, यह सब जानते हैं।
Options:
0) यह नेक हैं या नहीं इसके बारे में कोई नहीं जनता।
1) यह एक छुपा रहस्य है।

Question 20: जीवन अच्छा है।
Options:
0) जीवन बुरा है।
1) जीवन मीठा करेला है।

Question 21: जीवन अच्छा है।
Options:
0) जीवन बुरा है।
1) जीवन मीठा गुलकन्द है।

Question 22: उसका गुस्सा जल्दी उतर जाता है।
Options:
0) उसको गुस्सा बहुत ज्यादा आता है।
1) उसका गुस्सा बर्फ की सिल्ली सा है।

Question 23: उसका गुस्सा जल्दी उतर जाता है।
Options:
0) उसको गुस्सा बहुत ज्यादा आता है।
1) उसका गुस्सा चाकू की धार सा है।

Question 24: लड़का बहुत पतला है।
Options:
0) लड़का बहुत मोटा है।
1) लड़का छड़ी की तरह पतला है।

Question 25: लड़का बहुत पतला है।
Options:
0) लड़का बहुत मोटा है।
1) लड़का फूटबाल की तरह गोल है।

Question 26: रोहन का प्यार सच्चा है।
Options:
0) रोहन का प्यार झूठा है।
1) रोहन का प्यार मीठे जामुन की तरह है।

Question 27: रोहन का प्यार सच्चा है।
Options:
0) रोहन का प्यार झूठा है।
1) रोहन का प्यार कड़वे बैंगन की तरह है।

Question 28: वह समूह में सबसे डरपोक है।
Options:
0) वह समूह में सबसे निडर है।
1) वह अपने समूह का चूहा है।

Question 29: वह समूह में सबसे डरपोक है।
Options:
0) वह समूह में सबसे निडर है।
1) वह अपने समूह का हाथी है।
","15, 1
16, 1
17, 1
18, 1
19, 1
20, 0
21, 1
22, 1
23, 0
24, 0
25, 1
26, 1
27, 1
28, 1
29, 0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 30: वो मासूम है।
Options:
0) वो चालक है।
1) वो स्केल की तरह सीधा है।

Question 31: वो मासूम है।
Options:
0) वो चालक है।
1) वो जलेबी की तरह सीधा है।

Question 32: जीवन बहुत छोटा होता है।
Options:
0) जीवन बहुत लम्बा होता है।
1) जीवन एक गाँव की गली है।

Question 33: जीवन बहुत छोटा होता है।
Options:
0) जीवन बहुत लम्बा होता है।
1) जीवन एक राष्ट्रीय राजमार्ग है।

Question 34: वह उसकी काबलियत समझ नहीं सका।
Options:
0) वह उसकी काबलियत समझ सका।
1) उसकी आँखें पत्थर की थीं।

Question 35: वह उसकी काबलियत समझ नहीं सका।
Options:
0) वह उसकी काबलियत समझ सका।
1) उसकी आँखें हीरे की थीं।

Question 36: उसकी किस्मत अच्छी नहीं थी।
Options:
0) उसकी किस्मत बहुत अच्छी थी।
1) वह एक डूबता सितारा है।

Question 37: उसकी किस्मत अच्छी नहीं थी।
Options:
0) उसकी किस्मत बहुत अच्छी थी।
1) वह एक चमकता सितारा है।

Question 38: वह चरित्रहीन है।
Options:
0) वो मासूम है।
1) उसका दामन काले कम्बल की तरह है।

Question 39: वह चरित्रहीन है।
Options:
0) वो मासूम है।
1) उसका दामन सफ़ेद चादर की तरह है।

Question 40: उसकी सोच छोटी है।
Options:
0) वह दूर की सोचता है।
1) उसकी नज़रें चिड़िया की तरह हैं।

Question 41: उसकी सोच छोटी है।
Options:
0) वह दूर की सोचता है।
1) उसकी नज़रें चील की तरह हैं।

Question 42: वह कमजोर है।
Options:
0) वह बहादुर है।
1) वह बकरी की तरह मिम्यता है।

Question 43: वह कमजोर है।
Options:
0) वह बहादुर है।
1) वह शेर की तरह दहाड़ता है।

Question 44: उसका शरीर छोटा है।
Options:
0) उसका शरीर विशाल है।
1) उसकी काया मैदान जैसी है।
","30, 0
31, 0
32, 0
33, 1
34, 1
35, 1
36, 0
37, 1
38, 0
39, 0
40, 1
41, 1
42, 1
43, 0
44, 0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 45: उसका शरीर छोटा है।
Options:
0) उसका शरीर विशाल है।
1) उसकी काया पहाड़ जैसी है।

Question 46: वह कोमल है।
Options:
0) वह सख्त है।
1) गाय की तरह मजबूत है।

Question 47: वह कोमल है।
Options:
0) वह सख्त है।
1) बैल की तरह मजबूत है।

Question 48: वह आदमी बहुत मस्त था।
Options:
0) वह आदमी बहुत गुस्सैल था।
1) वह आदमी ठंडी बर्फ जैसा व्यवहार कर रहा था।

Question 49: वह आदमी बहुत मस्त था।
Options:
0) वह आदमी बहुत गुस्सैल था।
1) वह आदमी उबले पानी जैसा व्यवहार कर रहा था।

Question 50: बहुत सुनदर है।
Options:
0) बहुत बदसूरत है।
1) एक परी जितनी कीमती है।

Question 51: बहुत सुनदर है।
Options:
0) बहुत बदसूरत है।
1) एक डायन जितनी कीमती है।

Question 52: रामदीन बहुत कला है।
Options:
0) रामदीन बहुत गोरा है।
1) रामदीन की चेहरा कोयले की तरह है।

Question 53: रामदीन बहुत कला है।
Options:
0) रामदीन बहुत गोरा है।
1) रामदीन की चेहरा मोती की तरह है।

Question 54: वह बहुत शांत सुभाव का था।
Options:
0) वह थोड़ी देर के लिए शांत था।
1) उसका मन बर्फ की तरह ठंडा था।

Question 55: वह बहुत शांत सुभाव का था।
Options:
0) वह थोड़ी देर के लिए शांत था।
1) उसका मन रेत की तरह ठंडा था।

Question 56: विराट सुस्त है।
Options:
0) विराट तेज है।
1) विराट कछुए की तरह चुस्त है।

Question 57: विराट सुस्त है।
Options:
0) विराट तेज है।
1) विराट चीते की तरह चुस्त है।

Question 58: महेश शराफत से दूकान चलाता है।
Options:
0) महेश धोकेबाजी से दूकान चलाता है।
1) महेश दुकान बकरी की तरह चलाता है।

Question 59: महेश शराफत से दूकान चलाता है।
Options:
0) महेश धोकेबाजी से दूकान चलाता है।
1) महेश दुकान लोमड़ी की तरह चलाता है।
","45, 0
46, 0
47, 1
48, 1
49, 1
50, 1
51, 1
52, 1
53, 1
54, 0
55, 1
56, 0
57, 1
58, 0
59, 0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 60: उसके चहरे पर गुस्सा साफ नज़र आ रहा था।
Options:
0) उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।
1) उसके चेहरे पर अभिव्यक्ति सूरज की तरह थी।

Question 61: उसके चहरे पर गुस्सा साफ नज़र आ रहा था।
Options:
0) उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।
1) उसके चेहरे पर अभिव्यक्ति चाँद की तरह थी।

Question 62: मेरी पत्नी काम में बहुत आलसी है।
Options:
0) मेरी पत्नी काम में बहुत तेज है।
1) मेरी पत्नी सुबह के समय घोंघे की तरह व्यस्त रहती है।

Question 63: मेरी पत्नी काम में बहुत आलसी है।
Options:
0) मेरी पत्नी काम में बहुत तेज है।
1) मेरी पत्नी सुबह के समय मधुमक्खी की तरह व्यस्त रहती है।

Question 64: नौकरानी ने सब अच्छे से साफ़ किया।
Options:
0) नौकरानी ने सब अच्छे से साफ़ नहीं किया।
1) नौकरानी ने हॉल सफ़ेद चादर सा साफ है।

Question 65: नौकरानी ने सब अच्छे से साफ़ किया।
Options:
0) नौकरानी ने सब अच्छे से साफ़ नहीं किया।
1) नौकरानी ने हॉल काली चादर सा साफ है।

Question 66: तुम्हार कोट बहुत अच्छा नहीं है।
Options:
0) तुम्हार कोट बहुत अच्छा है।
1) तुम्हार कोट तो घास की तरह है।

Question 67: तुम्हार कोट बहुत अच्छा नहीं है।
Options:
0) तुम्हार कोट बहुत अच्छा है।
1) तुम्हार कोट तो मखमल की तरह है।

Question 68: राकेश का दिम्माग बहुत धीमा है।
Options:
0) राकेश का दिम्माग बहुत तेज़ है।
1) राकेश की दिमाग पत्थर सा तेज है।

Question 69: राकेश का दिम्माग बहुत धीमा है।
Options:
0) राकेश का दिम्माग बहुत तेज़ है।
1) राकेश की दिमाग उस्तरे सा तेज है।

Question 70: उसकी आवाज बहुत बुरी है।
Options:
0) उसकी आवाज बहुत मधुर है।
1) उसकी आवाज फटे बांस की तरह है।

Question 71: उसकी आवाज बहुत बुरी है।
Options:
0) उसकी आवाज बहुत मधुर है।
1) उसकी आवाज कोयल की तरह है।

Question 72: वह काम करके खुश होता है।
Options:
0) वह काम करने से कतराता है।
1) काम के मिलते ही उसका चहरा रौशनी सा सफेद हो गया।

Question 73: वह काम करके खुश होता है।
Options:
0) वह काम करने से कतराता है।
1) काम के मिलते ही उसका चहरा भूत सा सफेद हो गया।

Question 74: वह बहुत चुस्त है।
Options:
0) वह बहुत थका हुआ है।
1) हार्दिक उगते चाँद की तरह ताजा है।
","60,0
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 75: वह बहुत चुस्त है।
Options:
0) वह बहुत थका हुआ है।
1) हार्दिक उगते सूरज की तरह ताजा है।

Question 76: वह विश्वास से भरा हुआ था।
Options:
0) वह बहुत घबराया हुआ था।
1) लेक्चर लेते समय वह रबर की तरह खड़ा था।

Question 77: वह विश्वास से भरा हुआ था।
Options:
0) वह बहुत घबराया हुआ था।
1) लेक्चर लेते समय वह बोर्ड की तरह खड़ा था।

Question 78: पोस्टिंग की खबर से वो बहुत दुखी हुआ।
Options:
0) पोस्टिंग की खबर से वो बहुत खुश हुआ।
1) पोस्टिंग की खबर सुन वह पागल सांड की तरह नाचने लगा।

Question 79: पोस्टिंग की खबर से वो बहुत दुखी हुआ।
Options:
0) पोस्टिंग की खबर से वो बहुत खुश हुआ।
1) पोस्टिंग की खबर सुन वह मोर की तरह नाचने लगा।

Question 80: उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। 
Options:
0) उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। 
1) उसके द्वारा दिया गया प्रोत्साहन एक बुलडोजर के समान था। 

Question 81: उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। 
Options:
0) उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। 
1) उसके द्वारा दिया गया प्रोत्साहन एक हवा के झोंके के समान था। 

Question 82: किशोर बहुत मासूम है।
Options:
0) किशोर बहुत चलाक है।
1) किशोर एक मेमने की तरह है।

Question 83: किशोर बहुत मासूम है।
Options:
0) किशोर बहुत चलाक है।
1) किशोर एक भेड़िये की तरह है।

Question 84: वह बहुत कठोर दिल की लगती है।
Options:
0) वह बहुत कोमल दिल की लगती है।
1) वह एक आग की तरह चमकीली लगती है!

Question 85: वह बहुत कठोर दिल की लगती है।
Options:
0) वह बहुत कोमल दिल की लगती है।
1) वह एक हीरे की तरह चमकीली लगती है!

Question 86: वह बॉक्सर कमजोर है।
Options:
0) वह बॉक्सर बहुत ताकतवर है।
1) वह बॉक्सर बच्चे की तरह मजबूत है।

Question 87: वह बॉक्सर कमजोर है।
Options:
0) वह बॉक्सर बहुत ताकतवर है।
1) वह बॉक्सर भीम की तरह मजबूत है।

Question 88: मेरा जीवन सुखों से भरा है।
Options:
0) मेरा जीवन दुखों से भरा है।
1) मेरा जीवन स्वर्ग के समान है।

Question 89: मेरा जीवन सुखों से भरा है।
Options:
0) मेरा जीवन दुखों से भरा है।
1) मेरा जीवन नर्क के समान है।
","75,1
76,1
77,1
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 90: साहूकार बहुत निर्दयी है।
Options:
0) साहूकार बहुत दयालु है।
1) साहूकार का दिल मगरमछ के चमड़े की तरह है।

Question 91: साहूकार बहुत निर्दयी है।
Options:
0) साहूकार बहुत दयालु है।
1) साहूकार का दिल ख़रगोश के चमड़े की तरह है।

Question 92: राधा को पाना बहुत आसान है।
Options:
0) राधा को पाना बहुत मुश्किल है।
1) राधा को पाना अमरुद को तोड़ लाने की तरह आसान है।

Question 93: राधा को पाना बहुत आसान है।
Options:
0) राधा को पाना बहुत मुश्किल है।
1) राधा को पाना चाँद को तोड़ लाने की तरह आसान है।

Question 94: वह सच में बहुत खुश है। 
Options:
0) वह असल में बहुत दुखी है। 
1) वह अभी अभी दुल्हन बनी महिला की तरह खुश है। 

Question 95: वह सच में बहुत खुश है। 
Options:
0) वह असल में बहुत दुखी है। 
1) वह अभी अभी विधवा बनी महिला की तरह खुश है। 

Question 96: राज बहुत टेढ़ा आदमी है।
Options:
0) राज बहुत सीधा आदमी है।
1) राज साँप की तरह सीधा है।

Question 97: राज बहुत टेढ़ा आदमी है।
Options:
0) राज बहुत सीधा आदमी है।
1) राज पेंसिल की तरह सीधा है।

Question 98: नाटक में बहुत गहरा अर्थ दर्शाया गया है। 
Options:
0) नाटक में बस ऊपरी दिखावा दर्शाया गया है। 
1) नाटक में एक कुएँ सी गहराई है। 

Question 99: नाटक में बहुत गहरा अर्थ दर्शाया गया है।
Options:
0) नाटक में बस ऊपरी दिखावा दर्शाया गया है।
1) नाटक में एक खाई सी गहराई है। 

Question 100: कोमल बहुत बुद्धिमान है।
Options:
0) कोमल बहुत बेवक़ूफ़ है।
1) कोमल चील जितनी बुद्धिमान है।

Question 101: कोमल बहुत बुद्धिमान है।
Options:
0) कोमल बहुत बेवक़ूफ़ है।
1) कोमल उल्लू जितनी बुद्धिमान है।

Question 102: नदी का पानी बहुत ज्यादा गंदा है।
Options:
0) नदी का पानी बहुत ज्यादा स्वच्छ है।
1) नदी का पानी कीचड की तरह साफ है।

Question 103: नदी का पानी बहुत ज्यादा गंदा है।
Options:
0) नदी का पानी बहुत ज्यादा स्वच्छ है।
1) नदी का पानी क्रिस्टल की तरह साफ है।

Question 104: उसकी वाणी बहुत कर्कश है।
Options:
0) उसकी वाणी बहुत मधुर है।
1) उसकी वाणी टाट सी कोमल है।
","90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 105: उसकी वाणी बहुत कर्कश है।
Options:
0) उसकी वाणी बहुत मधुर है।
1) उसकी वाणी रेशम सी कोमल है।

Question 106: उसके वादों पर विश्वास किया जा सकता है।
Options:
0) उसके वादों पर भरोसा नहीं किया जा सकता है।
1) उसके शब्दों में टाइटेनियम सी ताकत है।

Question 107: उसके वादों पर विश्वास किया जा सकता है।
Options:
0) उसके वादों पर भरोसा नहीं किया जा सकता है।
1) उसके शदों में शीशे सी ताकत है।

Question 108: उनके चुंबन प्रदर्शनकारी और तीव्र हैं।
Options:
0) उनका चुंबन भावहीन है।
1) उनके चुंबन में प्रेमियों के विवाह सा जुनून है।

Question 109: उनके चुंबन प्रदर्शनकारी और तीव्र हैं।
Options:
0) उनका चुंबन भावहीन है।
1) उनके चुम्बन में प्रेमहीन विवाह सा जुनून है।

Question 110: बहुत ठंड है। 
Options:
0) बहुत गरमी है। 
1) यह सर्दी उतनी ही ठंडी है जितनी मेरी सास मेरे प्रति।

Question 111: बहुत ठंड है। 
Options:
0) बहुत गरमी है। 
1) यह सर्दी उतनी ही ठंडी है जितनी मेरी दोपहर की चारपाई। 

Question 112: वह बहुत गुस्से में था। 
Options:
0) वह बहुत अच्छा था। 
1) कुत्ता एक बूढ़े आदमी की तरह क्रोधित था। 

Question 113: वह बहुत गुस्से में था। 
Options:
0) वह बहुत अच्छा था। 
1) कुत्ता एक नर्सरी शिक्षक की तरह क्रोधित था। 

Question 114: यात्रा बहुत लंबी थी
Options:
0) यात्रा बहुत छोटी थी।
1) यात्रा जीवन भर जितनी लंबी थी। 

Question 115: यात्रा बहुत लंबी थी
Options:
0) यात्रा बहुत छोटी थी।
1) यात्रा पलक झपकने जितनी लंबी थी। 

Question 116: वह अमीर है। 
Options:
0) वह गरीब है। 
1) उनके पास एक राजा की सम्पति है। 

Question 117: वह अमीर है। 
Options:
0) वह गरीब है। 
1) उनके पास एक भिखारी की सम्पति है। 

Question 118: यह बहुत खुशबूदार है। 
Options:
0) यह बहुत बदबूदार है। 
1) इससे नदी किनारे की ठंडी महक आ रही है। 

Question 119: यह बहुत खुशबूदार है। 
Options:
0) यह बहुत बदबूदार है। 
1) इससे नाले के पास की गंदी महक आ रही है। 
","105,1
106,0
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 120: बातचीत सार्थक है।
Options:
0) वार्तालाप व्यर्थ है।
1) वार्तालाप एक बैंक की तिजोरी की तरह होती है। 

Question 121: बातचीत सार्थक है।
Options:
0) वार्तालाप व्यर्थ है।
1) वार्तालाप एक मुफ्त के कूपन की तरह होती है। 

Question 122: रोहन ने संजय का चेहरा मार मार के चपटा कर दिया।  
Options:
0) रोहन ने संजय का चेहरा मार मार के सूजा दिया।  
1) रोहन ने संजय का चेहरा तरबूज की तरह कर दिया।  

Question 123: रोहन ने संजय का चेहरा मार मार के चपटा कर दिया।  
Options:
0) रोहन ने संजय का चेहरा मार मार के सूजा दिया।  
1) रोहन ने संजय का चेहरा तवे की तरह कर दिया।  

Question 124: ज्यादा पैसा अच्छा होता है। 
Options:
0) ज्यादा पैसा बुरा होता है। 
1) ज्यादा पैसा एक दोस्त कि तरह होता है। 

Question 125: ज्यादा पैसा अच्छा होता है। 
Options:
0) ज्यादा पैसा बुरा होता है। 
1) ज्यादा पैसा एकदुश्मन कि तरह होता है। 

Question 126: बातचीत अच्छी थी। 
Options:
0) बातचीत बुरी थी। 
1) उसके साथ बातचीत रामायण की तरह थी। 

Question 127: बातचीत अच्छी थी। 
Options:
0) बातचीत अच्छी थी। 
1) उसके साथ बातचीत महाभारत की तरह थी। 

Question 128: पिछली समुद्र यात्रा बहुत आसान थी।  
Options:
0) पिछली समुद्र यात्रा बहुत मुश्किल थी।  
1) पिछली समुद्र यात्रा मक्खन की तरह निकली।  

Question 129: पिछली समुद्र यात्रा बहुत आसान थी।  
Options:
0) पिछली समुद्र यात्रा बहुत मुश्किल थी।  
1) पिछली समुद्र यात्रा पहाड़ी रास्ते की तरह निकली।  

Question 130: छात्र ने लम्बी राहत पहुँचाई। 
Options:
0) छात्र ने बस कुछ पल की राहत पहुँचाई। 
1) स्कूल के छात्र ने दवा की तरह मदद की। 

Question 131: छात्र ने लम्बी राहत पहुँचाई। 
Options:
0) छात्र ने बस कुछ पल की राहत पहुँचाई। 
1) स्कूल के छात्र ने शराब की तरह मदद की। 

Question 132: उनके रिश्ता में कोई प्यार नहीं। 
Options:
0) उनके रिश्ता में प्यार की गर्माहट है। 
1) इन दोनों का रिश्ता कश्मीर की ठंडी बर्फ जैसा है। 

Question 133: उनके रिश्ता में कोई प्यार नहीं। 
Options:
0) उनके रिश्ता में प्यार की गर्माहट है। 
1) इन दोनों का रिश्ता रेगिस्तान की गर्म रेत जैसा है। 

Question 134: यात्रा बहुत कठिन होगी।
Options:
0) यात्रा बहुत सुहावनी होगी।
1) यात्रा में सफ़र आग में चलने जैसा होगा।
","120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,1"
"Instruction: For each of the below questions, only output the option index as the answer. Return the answers as a csv <Question No., Option Index>
Question 135: यात्रा बहुत कठिन होगी।
Options:
0) यात्रा बहुत सुहावनी होगी।
1) यात्रा में सफ़र फूलों में चलने जैसा होगा।

Question 136: पैसे कमाने ने उसे जीवित रखा।
Options:
0) पैसा कमाना उसे मार रहा था।
1) उसके लिए पैसा कमाना ऑक्सीजन था।

Question 137: पैसे कमाने ने उसे जीवित रखा।
Options:
0) पैसा कमाना उसे मार रहा था।
1) उसके लिए पैसा कमाना गले का फंदा था।

Question 138: वक्ता बहुत शांत था।
Options:
0) वक्ता बहुत जोश में था। 
1) वह वक्ता बहते पानी की तरह बोल रहा था।

Question 139: वक्ता बहुत शांत था।
Options:
0) वक्ता बहुत जोश में था। 
1) वह वक्ता किसी तूफ़ान की तरह बोल रहा था।

Question 140: कोमल को बहुत गुस्सा आया। 
Options:
0) कोमल शर्मा गई। 
1) कोमल के गाल आग की तरह खिल ऊठे।

Question 141: कोमल को बहुत गुस्सा आया। 
Options:
0) कोमल शर्मा गई। 
1) कोमल के गाल गुलाब की तरह खिल ऊठे। 

Question 142: ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। 
Options:
0) ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया। 
1) वह ट्रिप प्लानर धोकेबाज़ था।

Question 143: ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। 
Options:
0) ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया।
1) वह ट्रिप प्लानर जादूगर था।

Question 144: नर्तकी का नाच बहुत सुंदर था। 
Options:
0) नर्तकी का नाच बहुत बकवास था। 
1) नर्तकी तितली की तरह नाची। 

Question 145: नर्तकी का नाच बहुत सुंदर था। 
Options:
0) नर्तकी का नाच बहुत बकवास था। 
1) नर्तकी हाथी की तरह नाची। 

Question 146: बर्गर बहुत स्वादिष्ट है। 
Options:
0) बर्गर बहुत बेस्वाद है। 
1) बर्गर में माँ के हाथो सा स्वाद है। 

Question 147: बर्गर बहुत स्वादिष्ट है। 
Options:
0) बर्गर बहुत बेस्वाद है। 
1) बर्गर में धोबी के हाथो सा स्वाद है। 

Question 148: तस्वीर में ख़ुशी झलक रही थी। 
Options:
0) तस्वीर में दुखों की झलक थी। 
1) तस्वीर में ज़िन्दगी की चाहत थी।

Question 149: तस्वीर में ख़ुशी झलक रही थी। 
Options:
0) तस्वीर में दुखों की झलक थी। 
1) तस्वीर में मौत की चाहत थी।
","135, 0
136, 1
137, 1
138, 0
139, 1
140, 1
141, 1
142, 1
143, 0
144, 1
145, 1
146, 1
147, 1
148, 1
149, 1"
