ending1,ending2,startphrase,labels,instruction_column
hirup kawas kakekang,hirup kawas bebas.,hirup kawas kurung batok,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hirup kawas kurung batok, Options: 0) hirup kawas kakekang 1) hirup kawas bebas."
hirup kawas kakekang,hirup kawas bebas.,hirup kawas murag bulu bitis.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hirup kawas murag bulu bitis., Options: 0) hirup kawas kakekang 1) hirup kawas bebas."
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,jadi jalma teh kudu hampang birit,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jadi jalma teh kudu hampang birit, Options: 0) jadi jalma teh kudu rajin 1) jadi jalma teh kudu kedul."
jadi jalma teh kudu rajin,jadi jalma teh kudu kedul.,jadi jalma teh kudu beurat birit.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: jadi jalma teh kudu beurat birit., Options: 0) jadi jalma teh kudu rajin 1) jadi jalma teh kudu kedul."
mamat lumpat siga gancang,mamat lumpat siga laun.,Mamat lumpatna siga uncal,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mamat lumpatna siga uncal, Options: 0) mamat lumpat siga gancang 1) mamat lumpat siga laun."
mamat lumpat siga gancang,mamat lumpat siga laun.,Mamat lumpatna siga kuya.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mamat lumpatna siga kuya., Options: 0) mamat lumpat siga gancang 1) mamat lumpat siga laun."
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,hirup teh kudu boga pamadeugan,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hirup teh kudu boga pamadeugan, Options: 0) hirup teh kudu boga pendirian 1) hirup teh kudu boga plin-plan."
hirup teh kudu boga pendirian,hirup teh kudu boga plin-plan.,hirup teh kudu boga kaditu kadieu.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: hirup teh kudu boga kaditu kadieu., Options: 0) hirup teh kudu boga pendirian 1) hirup teh kudu boga plin-plan."
jadi jalma kudu jujur,jadi jalma kudu boong.,si amat mah sok ngeduk cikur kedah mitutur,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si amat mah sok ngeduk cikur kedah mitutur, Options: 0) jadi jalma kudu jujur 1) jadi jalma kudu boong."
jadi jalma kudu jujur,jadi jalma kudu boong.,si amat mah sok luncat licin.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: si amat mah sok luncat licin., Options: 0) jadi jalma kudu jujur 1) jadi jalma kudu boong."
ceuk ema jadi jalmi teh kedah ramah,ceuk ema jadi jalmi teh kedah judes.,ceuk ema jadi jalmi teh kedah sing someah hade ka semah,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: ceuk ema jadi jalmi teh kedah sing someah hade ka semah, Options: 0) ceuk ema jadi jalmi teh kedah ramah 1) ceuk ema jadi jalmi teh kedah judes."
