startphrase,ending1,ending2,labels,instruction_column
Watoto ni malaika,Watoto daima hawana hatia,Yeye daima ni mwenye dhambi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Watoto ni malaika, Options: 0) Watoto daima hawana hatia 1) Yeye daima ni mwenye dhambi"
Yeye ni mnyama.,Watoto daima hawana hatia,Yeye daima ni mwenye dhambi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Yeye ni mnyama., Options: 0) Watoto daima hawana hatia 1) Yeye daima ni mwenye dhambi"
Maneno yake ni kama kisu,Maneno yako yanaumiza,Maneno yake yanafariji,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maneno yake ni kama kisu, Options: 0) Maneno yako yanaumiza 1) Maneno yake yanafariji"
Maneno yake ni kama kinanda,Maneno yako yanaumiza,Maneno yake yanafariji,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maneno yake ni kama kinanda, Options: 0) Maneno yako yanaumiza 1) Maneno yake yanafariji"
Tabasamu lake huangaza chumba kizima,Ana tabasamu zuri,Tabasamu lake linatisha,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tabasamu lake huangaza chumba kizima, Options: 0) Ana tabasamu zuri 1) Tabasamu lake linatisha"
Tabasamu lake lilijaa  vitisho  kama shomoro mdogo aliyeshika shoka,Ana tabasamu zuri,Tabasamu lake linatisha,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tabasamu lake lilijaa  vitisho  kama shomoro mdogo aliyeshika shoka, Options: 0) Ana tabasamu zuri 1) Tabasamu lake linatisha"
Nipo katika dimbwi la furaha,Nina furaha kubwa sana,Nina huzuni nyingi sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Nipo katika dimbwi la furaha, Options: 0) Nina furaha kubwa sana 1) Nina huzuni nyingi sana"
Ninazama katika bahari ya huzuni,Nina furaha kubwa sana,Nina huzuni nyingi sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ninazama katika bahari ya huzuni, Options: 0) Nina furaha kubwa sana 1) Nina huzuni nyingi sana"
"Penzi lao limepamba moto""",Wale wanapendana sana,Wale hawapendani sana,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Penzi lao limepamba moto"", Options: 0) Wale wanapendana sana 1) Wale hawapendani sana"
"Penzi lao ni kama moto wa kibatari kwenye upepo""",Wale wanapendana sana,Wale hawapendani sana,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Penzi lao ni kama moto wa kibatari kwenye upepo"", Options: 0) Wale wanapendana sana 1) Wale hawapendani sana"
Wali huu una ladha kama umepikwa  hotelini,Chakula ni kitamu,Chakula ni kibaya,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wali huu una ladha kama umepikwa  hotelini, Options: 0) Chakula ni kitamu 1) Chakula ni kibaya"
Wali huu unaladha kama umepikwa bwenini,Chakula ni kitamu,Chakula ni kibaya,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Wali huu unaladha kama umepikwa bwenini, Options: 0) Chakula ni kitamu 1) Chakula ni kibaya"
Mtihani ulikuwa kama kipande cha keki,Mtihani ulikuwa rahisi sana,Mtihani ulikua mgumu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mtihani ulikuwa kama kipande cha keki, Options: 0) Mtihani ulikuwa rahisi sana 1) Mtihani ulikua mgumu"
Mtihani ulikuwa kama ugali wa jela,Mtihani ulikuwa rahisi sana,Mtihani ulikua mgumu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mtihani ulikuwa kama ugali wa jela, Options: 0) Mtihani ulikuwa rahisi sana 1) Mtihani ulikua mgumu"
Mzamiru alitoa pasi rula,Mchezaji alitoa pasi nzuri,Mchezaji alitoa pasi mbaya,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mzamiru alitoa pasi rula, Options: 0) Mchezaji alitoa pasi nzuri 1) Mchezaji alitoa pasi mbaya"
Feisal alitoa pasi mkaa,Mchezaji alitoa pasi nzuri,Mchezaji alitoa pasi mbaya,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Feisal alitoa pasi mkaa, Options: 0) Mchezaji alitoa pasi nzuri 1) Mchezaji alitoa pasi mbaya"
Vijana ndio taifa la kesho,Vijana ndio watakaoleta maendeleo huko mbeleni,Vijana hawahusiki na maendeleo ya taifa ya baadae,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Vijana ndio taifa la kesho, Options: 0) Vijana ndio watakaoleta maendeleo huko mbeleni 1) Vijana hawahusiki na maendeleo ya taifa ya baadae"
Vijana wataozesha taifa,Vijana ndio watakaoleta maendeleo huko mbeleni,Vijana wataliharibu taifa.,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Vijana wataozesha taifa, Options: 0) Vijana ndio watakaoleta maendeleo huko mbeleni 1) Vijana wataliharibu taifa."
Sauti yako ni muziki masikioni mwangu,Sauti yako ni inanipa faraja na raha niisikiapo,Sauti yako ni kero kwangu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sauti yako ni muziki masikioni mwangu, Options: 0) Sauti yako ni inanipa faraja na raha niisikiapo 1) Sauti yako ni kero kwangu"
Sauti yako ni kama chiriku,Sauti yako ni inanipa faraja na raha niisikiapo,Sauti yako ni kero kwangu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sauti yako ni kama chiriku, Options: 0) Sauti yako ni inanipa faraja na raha niisikiapo 1) Sauti yako ni kero kwangu"
Mapenzi ni kikohozi,Mapenzi hayafichiki,Mapenzi yanafichika,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni kikohozi, Options: 0) Mapenzi hayafichiki 1) Mapenzi yanafichika"
Mapenzi ni kama punje ya unga kwenye mchele,Mapenzi hayafichiki,Mapenzi yanafichika,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Mapenzi ni kama punje ya unga kwenye mchele, Options: 0) Mapenzi hayafichiki 1) Mapenzi yanafichika"
Ujana ni moshi,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ujana ni moshi, Options: 0) Ujana huja na kuondoka haraka 1) Ujana hukaa kwa mda mrefu"
Ujana ni safari ndefu,Ujana huja na kuondoka haraka,Ujana hukaa kwa mda mrefu,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ujana ni safari ndefu, Options: 0) Ujana huja na kuondoka haraka 1) Ujana hukaa kwa mda mrefu"
Maisha ni kama uji,Maisha si marahisi yanahitaji kupambana,Maisha ni marahisi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maisha ni kama uji, Options: 0) Maisha si marahisi yanahitaji kupambana 1) Maisha ni marahisi"
"Maisha sio mchezo, ni vita",Maisha si marahisi yanahitaji kupambana,Maisha ni marahisi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Maisha sio mchezo, ni vita, Options: 0) Maisha si marahisi yanahitaji kupambana 1) Maisha ni marahisi"
Kauli yake ilinikata maini,Kauli yake ilinifanya nijiskie vibaya,Kauli yake ilinifurahisha,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kauli yake ilinikata maini, Options: 0) Kauli yake ilinifanya nijiskie vibaya 1) Kauli yake ilinifurahisha"
Kauli yake ilikua kama maji baridi kooni,Kauli yake ilinifanya nijiskie vibaya,Kauli yake ilinifurahisha,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Kauli yake ilikua kama maji baridi kooni, Options: 0) Kauli yake ilinifanya nijiskie vibaya 1) Kauli yake ilinifurahisha"
Awamu hii kutakua na michuano ya kukata na shoka,Awamu hii kutakua na michuano migumu,Awamu hii kutakua na michuano mirahisi,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Awamu hii kutakua na michuano ya kukata na shoka, Options: 0) Awamu hii kutakua na michuano migumu 1) Awamu hii kutakua na michuano mirahisi"
Awamu hii kutakua na michuano lelemama,Awamu hii kutakua na michuano migumu,Awamu hii kutakua na michuano mirahisi,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Awamu hii kutakua na michuano lelemama, Options: 0) Awamu hii kutakua na michuano migumu 1) Awamu hii kutakua na michuano mirahisi"
"Sandra, wewe ndio nuru ya macho yangu","Sandra, wewe ndiye unayenipa furaha","Sandra, wewe siye unayenipa furaha",0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sandra, wewe ndio nuru ya macho yangu, Options: 0) Sandra, wewe ndiye unayenipa furaha 1) Sandra, wewe siye unayenipa furaha"
"Sandra, wewe ni kama shubiri kinywani mwangu","Sandra, wewe ndiye unayenipa furaha","Sandra, wewe siye unayenipa furaha",1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Sandra, wewe ni kama shubiri kinywani mwangu, Options: 0) Sandra, wewe ndiye unayenipa furaha 1) Sandra, wewe siye unayenipa furaha"
"Tofauti na dhana iliyokuwepo, mama ndiye nguzo  ya familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tofauti na dhana iliyokuwepo, mama ndiye nguzo  ya familia, Options: 0) Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja 1) Mama siye anayeishikilia familia kwa pamoja"
"Tofauti na dhana iliyokuwepo, mama ndiye kunguni wa familia","Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja",Mama siye anayeishikilia familia kwa pamoja,1,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Tofauti na dhana iliyokuwepo, mama ndiye kunguni wa familia, Options: 0) Tofauti na dhana iliyokuwepo, mama ndiye mtu anayeishikilia familia kwa pamoja 1) Mama siye anayeishikilia familia kwa pamoja"
Ndoa zitakua hadimu siku za usoni,Ndoa zitakua hadimu siku si nyingi,Ndoa hazitakua hadimu siku za hapa karibuni,0,"Instruction: Each question is a metaphor, and the options represent two possible meanings. Select the meaning which is closest to the metaphor. Explain the reasoning and output the option index as the answer in the json format: Explanation:... Answer:... Where Startphrase: Ndoa zitakua hadimu siku za usoni, Options: 0) Ndoa zitakua hadimu siku si nyingi 1) Ndoa hazitakua hadimu siku za hapa karibuni"
